filename phrasedur time point ST hz
elmesz 0.7067 0.1093 1 --undefined-- --undefined--
elmesz 0.7067 0.1210 2 --undefined-- --undefined--
elmesz 0.7067 0.1328 3 --undefined-- --undefined--
elmesz 0.7067 0.1446 4 --undefined-- --undefined--
elmesz 0.7067 0.1564 5 --undefined-- --undefined--
elmesz 0.7067 0.1681 6 --undefined-- --undefined--
elmesz 0.7067 0.1799 7 -1.73 90.52
elmesz 0.7067 0.1917 8 -1.84 89.91
elmesz 0.7067 0.2035 9 -1.99 89.17
elmesz 0.7067 0.2153 10 -2.06 88.77
elmesz 0.7067 0.2270 11 -2.05 88.82
elmesz 0.7067 0.2388 12 -2.04 88.89
elmesz 0.7067 0.2506 13 -2.11 88.53
elmesz 0.7067 0.2624 14 -2.18 88.18
elmesz 0.7067 0.2741 15 -2.13 88.44
elmesz 0.7067 0.2859 16 -1.90 89.62
elmesz 0.7067 0.2977 17 -1.53 91.54
elmesz 0.7067 0.3095 18 -1.02 94.26
elmesz 0.7067 0.3213 19 -0.26 98.51
elmesz 0.7067 0.3330 20 0.87 105.20
elmesz 0.7067 0.3448 21 2.36 114.63
elmesz 0.7067 0.3566 22 3.97 125.86
elmesz 0.7067 0.3684 23 5.44 136.94
elmesz 0.7067 0.3801 24 6.69 147.18
elmesz 0.7067 0.3919 25 7.79 156.87
elmesz 0.7067 0.4037 26 8.84 166.65
elmesz 0.7067 0.4155 27 9.80 176.13
elmesz 0.7067 0.4273 28 10.50 183.44
elmesz 0.7067 0.4390 29 10.86 187.29
elmesz 0.7067 0.4508 30 10.84 187.06
elmesz 0.7067 0.4626 31 10.31 181.38
elmesz 0.7067 0.4744 32 9.34 171.59
elmesz 0.7067 0.4861 33 8.25 161.08
elmesz 0.7067 0.4979 34 7.57 154.84
elmesz 0.7067 0.5097 35 --undefined-- --undefined--
elmesz 0.7067 0.5215 36 --undefined-- --undefined--
elmesz 0.7067 0.5333 37 --undefined-- --undefined--
elmesz 0.7067 0.5450 38 --undefined-- --undefined--
elmesz 0.7067 0.5568 39 --undefined-- --undefined--
elmesz 0.7067 0.5686 40 --undefined-- --undefined--
elmesz 0.7067 0.5804 41 --undefined-- --undefined--
elmesz 0.7067 0.5921 42 --undefined-- --undefined--
elmesz 0.7067 0.6039 43 --undefined-- --undefined--
elmesz 0.7067 0.6157 44 --undefined-- --undefined--
elmesz 0.7067 0.6275 45 --undefined-- --undefined--
elmesz 0.7067 0.6393 46 --undefined-- --undefined--
elmesz 0.7067 0.6510 47 --undefined-- --undefined--
elmesz 0.7067 0.6628 48 --undefined-- --undefined--
elmesz 0.7067 0.6746 49 --undefined-- --undefined--
elmesz 0.7067 0.6864 50 --undefined-- --undefined--
elmesz 0.7067 0.6981 51 --undefined-- --undefined--
elmesz 0.7067 0.7099 52 --undefined-- --undefined--
elmesz 0.7067 0.7217 53 --undefined-- --undefined--
elmesz 0.7067 0.7335 54 --undefined-- --undefined--
elmesz 0.7067 0.7453 55 --undefined-- --undefined--
elmesz 0.7067 0.7570 56 --undefined-- --undefined--
elmesz 0.7067 0.7688 57 --undefined-- --undefined--
elmesz 0.7067 0.7806 58 --undefined-- --undefined--
elmesz 0.7067 0.7924 59 --undefined-- --undefined--
elmesz 0.7067 0.8041 60 --undefined-- --undefined--
elmeszaz 1.2007 0.1312 1 --undefined-- --undefined--
elmeszaz 1.2007 0.1512 2 --undefined-- --undefined--
elmeszaz 1.2007 0.1712 3 --undefined-- --undefined--
elmeszaz 1.2007 0.1912 4 -2.40 87.06
elmeszaz 1.2007 0.2112 5 -1.88 89.69
elmeszaz 1.2007 0.2312 6 -1.66 90.85
elmeszaz 1.2007 0.2512 7 -1.62 91.09
elmeszaz 1.2007 0.2713 8 -1.57 91.33
elmeszaz 1.2007 0.2913 9 -1.16 93.52
elmeszaz 1.2007 0.3113 10 -0.36 97.95
elmeszaz 1.2007 0.3313 11 0.45 102.62
elmeszaz 1.2007 0.3513 12 1.08 106.43
elmeszaz 1.2007 0.3713 13 1.31 107.85
elmeszaz 1.2007 0.3913 14 1.35 108.14
elmeszaz 1.2007 0.4113 15 1.26 107.58
elmeszaz 1.2007 0.4314 16 1.25 107.46
elmeszaz 1.2007 0.4514 17 1.32 107.94
elmeszaz 1.2007 0.4714 18 1.20 107.19
elmeszaz 1.2007 0.4914 19 0.98 105.85
elmeszaz 1.2007 0.5114 20 0.76 104.47
elmeszaz 1.2007 0.5314 21 0.53 103.09
elmeszaz 1.2007 0.5514 22 0.28 101.61
elmeszaz 1.2007 0.5714 23 0.01 100.06
elmeszaz 1.2007 0.5915 24 -0.15 99.14
elmeszaz 1.2007 0.6115 25 0.008 100.05
elmeszaz 1.2007 0.6315 26 0.32 101.84
elmeszaz 1.2007 0.6515 27 0.11 100.64
elmeszaz 1.2007 0.6715 28 -0.46 97.39
elmeszaz 1.2007 0.6915 29 -0.59 96.63
elmeszaz 1.2007 0.7115 30 -0.04 99.77
elmeszaz 1.2007 0.7315 31 0.21 101.24
elmeszaz 1.2007 0.7516 32 -0.17 99.01
elmeszaz 1.2007 0.7716 33 -0.49 97.22
elmeszaz 1.2007 0.7916 34 0.67 103.97
elmeszaz 1.2007 0.8116 35 2.18 113.46
elmeszaz 1.2007 0.8316 36 3.05 119.26
elmeszaz 1.2007 0.8516 37 3.52 122.54
elmeszaz 1.2007 0.8716 38 3.71 123.89
elmeszaz 1.2007 0.8916 39 3.68 123.67
elmeszaz 1.2007 0.9117 40 3.64 123.40
elmeszaz 1.2007 0.9317 41 3.92 125.45
elmeszaz 1.2007 0.9517 42 4.80 131.96
elmeszaz 1.2007 0.9717 43 5.84 140.09
elmeszaz 1.2007 0.9917 44 6.78 147.93
elmeszaz 1.2007 1.0117 45 7.66 155.68
elmeszaz 1.2007 1.0317 46 8.50 163.44
elmeszaz 1.2007 1.0517 47 9.30 171.16
elmeszaz 1.2007 1.0718 48 9.83 176.46
elmeszaz 1.2007 1.0918 49 9.20 170.16
elmeszaz 1.2007 1.1118 50 7.56 154.81
elmeszaz 1.2007 1.1318 51 5.78 139.65
elmeszaz 1.2007 1.1518 52 4.00 126.01
elmeszaz 1.2007 1.1718 53 2.42 115.04
elmeszaz 1.2007 1.1918 54 --undefined-- --undefined--
elmeszaz 1.2007 1.2118 55 --undefined-- --undefined--
elmeszaz 1.2007 1.2319 56 --undefined-- --undefined--
elmeszaz 1.2007 1.2519 57 --undefined-- --undefined--
elmeszaz 1.2007 1.2719 58 --undefined-- --undefined--
elmeszaz 1.2007 1.2919 59 --undefined-- --undefined--
elmeszaz 1.2007 1.3119 60 --undefined-- --undefined--
meseltel 2.2797 0.1201 1 --undefined-- --undefined--
meseltel 2.2797 0.1581 2 -1.42 92.13
meseltel 2.2797 0.1961 3 -1.10 93.86
meseltel 2.2797 0.2341 4 -0.77 95.65
meseltel 2.2797 0.2721 5 0.61 103.59
meseltel 2.2797 0.3101 6 1.83 111.14
meseltel 2.2797 0.3481 7 2.19 113.47
meseltel 2.2797 0.3861 8 2.09 112.82
meseltel 2.2797 0.4241 9 2.16 113.27
meseltel 2.2797 0.4621 10 1.95 111.89
meseltel 2.2797 0.5000 11 1.67 110.12
meseltel 2.2797 0.5380 12 1.14 106.80
meseltel 2.2797 0.5760 13 0.94 105.59
meseltel 2.2797 0.6140 14 1.69 110.24
meseltel 2.2797 0.6520 15 0.65 103.83
meseltel 2.2797 0.6900 16 2.32 114.32
meseltel 2.2797 0.7280 17 2.64 116.51
meseltel 2.2797 0.7660 18 2.43 115.06
meseltel 2.2797 0.8040 19 2.73 117.10
meseltel 2.2797 0.8420 20 3.15 119.97
meseltel 2.2797 0.8800 21 3.28 120.83
meseltel 2.2797 0.9180 22 3.00 118.91
meseltel 2.2797 0.9560 23 3.40 121.71
meseltel 2.2797 0.9940 24 3.70 123.83
meseltel 2.2797 1.0320 25 4.00 125.99
meseltel 2.2797 1.0700 26 4.39 128.85
meseltel 2.2797 1.1080 27 4.44 129.26
meseltel 2.2797 1.1460 28 4.84 132.23
meseltel 2.2797 1.1840 29 4.17 127.23
meseltel 2.2797 1.2220 30 4.14 127.01
meseltel 2.2797 1.2600 31 3.50 122.41
meseltel 2.2797 1.2979 32 2.45 115.22
meseltel 2.2797 1.3359 33 1.34 108.02
meseltel 2.2797 1.3739 34 0.51 102.97
meseltel 2.2797 1.4119 35 0.43 102.53
meseltel 2.2797 1.4499 36 0.63 103.69
meseltel 2.2797 1.4879 37 0.94 105.57
meseltel 2.2797 1.5259 38 1.20 107.21
meseltel 2.2797 1.5639 39 1.43 108.60
meseltel 2.2797 1.6019 40 1.55 109.35
meseltel 2.2797 1.6399 41 1.58 109.53
meseltel 2.2797 1.6779 42 1.45 108.71
meseltel 2.2797 1.7159 43 0.51 103.00
meseltel 2.2797 1.7539 44 -0.38 97.84
meseltel 2.2797 1.7919 45 -0.35 97.99
meseltel 2.2797 1.8299 46 0.30 101.74
meseltel 2.2797 1.8679 47 1.33 107.98
meseltel 2.2797 1.9059 48 2.32 114.37
meseltel 2.2797 1.9439 49 3.51 122.50
meseltel 2.2797 1.9819 50 3.91 125.34
meseltel 2.2797 2.0199 51 3.69 123.76
meseltel 2.2797 2.0578 52 4.00 125.97
meseltel 2.2797 2.0958 53 6.03 141.72
meseltel 2.2797 2.1338 54 8.89 167.17
meseltel 2.2797 2.1718 55 8.24 160.99
meseltel 2.2797 2.2098 56 4.67 131.03
meseltel 2.2797 2.2478 57 1.08 106.43
meseltel 2.2797 2.2858 58 -1.18 93.43
meseltel 2.2797 2.3238 59 -1.33 92.59
meseltel 2.2797 2.3618 60 --undefined-- --undefined--
mesz 0.4850 0.1394 1 --undefined-- --undefined--
mesz 0.4850 0.1475 2 0.15 100.85
mesz 0.4850 0.1556 3 -0.15 99.15
mesz 0.4850 0.1637 4 -0.47 97.35
mesz 0.4850 0.1718 5 -0.76 95.69
mesz 0.4850 0.1799 6 -1.01 94.33
mesz 0.4850 0.1879 7 -1.22 93.21
mesz 0.4850 0.1960 8 -1.41 92.16
mesz 0.4850 0.2041 9 -1.62 91.07
mesz 0.4850 0.2122 10 -1.84 89.91
mesz 0.4850 0.2203 11 -2.06 88.80
mesz 0.4850 0.2284 12 -2.24 87.88
mesz 0.4850 0.2364 13 -2.36 87.27
mesz 0.4850 0.2445 14 -2.40 87.04
mesz 0.4850 0.2526 15 -2.37 87.20
mesz 0.4850 0.2607 16 -2.26 87.76
mesz 0.4850 0.2688 17 -2.07 88.74
mesz 0.4850 0.2769 18 -1.79 90.20
mesz 0.4850 0.2849 19 -1.38 92.35
mesz 0.4850 0.2930 20 -0.80 95.50
mesz 0.4850 0.3011 21 -0.02 99.92
mesz 0.4850 0.3092 22 0.94 105.63
mesz 0.4850 0.3173 23 2.03 112.51
mesz 0.4850 0.3254 24 3.19 120.32
mesz 0.4850 0.3334 25 4.36 128.71
mesz 0.4850 0.3415 26 5.47 137.24
mesz 0.4850 0.3496 27 6.49 145.53
mesz 0.4850 0.3577 28 7.42 153.51
mesz 0.4850 0.3658 29 8.29 161.42
mesz 0.4850 0.3738 30 9.10 169.16
mesz 0.4850 0.3819 31 9.77 175.88
mesz 0.4850 0.3900 32 --undefined-- --undefined--
mesz 0.4850 0.3981 33 --undefined-- --undefined--
mesz 0.4850 0.4062 34 --undefined-- --undefined--
