filename time point wordno word wordpoint ST hz
elmesz 0.1175 1 word1 el 1 --undefined-- --undefined--
elmesz 0.1375 2 word1 el 2 --undefined-- --undefined--
elmesz 0.1576 3 word1 el 3 --undefined-- --undefined--
elmesz 0.1776 4 word1 el 4 -1.71 90.60
elmesz 0.1977 5 word1 el 5 -1.91 89.53
elmesz 0.2177 6 word1 el 6 -2.06 88.76
elmesz 0.2377 7 word1 el 7 -2.04 88.89
elmesz 0.2578 8 word1 el 8 -2.16 88.25
elmesz 0.2778 9 word1 el 9 -2.07 88.74
elmesz 0.2978 10 word1 el 10 -1.53 91.57
elmesz 0.3485 11 word2 mesz 1 2.86 118.05
elmesz 0.3991 12 word2 mesz 2 8.44 162.80
elmesz 0.4497 13 word2 mesz 3 10.85 187.18
elmesz 0.5004 14 word2 mesz 4 --undefined-- --undefined--
elmesz 0.5510 15 word2 mesz 5 --undefined-- --undefined--
elmesz 0.6016 16 word2 mesz 6 --undefined-- --undefined--
elmesz 0.6522 17 word2 mesz 7 --undefined-- --undefined--
elmesz 0.7029 18 word2 mesz 8 --undefined-- --undefined--
elmesz 0.7535 19 word2 mesz 9 --undefined-- --undefined--
elmesz 0.8041 20 word2 mesz 10 --undefined-- --undefined--
elmeszaz 0.1312 1 word1 el 1 --undefined-- --undefined--
elmeszaz 0.1512 2 word1 el 2 --undefined-- --undefined--
elmeszaz 0.1713 3 word1 el 3 --undefined-- --undefined--
elmeszaz 0.1913 4 word1 el 4 -2.39 87.08
elmeszaz 0.2114 5 word1 el 5 -1.88 89.71
elmeszaz 0.2314 6 word1 el 6 -1.66 90.86
elmeszaz 0.2515 7 word1 el 7 -1.62 91.09
elmeszaz 0.2715 8 word1 el 8 -1.57 91.34
elmeszaz 0.2916 9 word1 el 9 -1.15 93.57
elmeszaz 0.3116 10 word1 el 10 -0.34 98.04
elmeszaz 0.3347 11 word2 mesz 1 0.58 103.39
elmeszaz 0.3578 12 word2 mesz 2 1.20 107.15
elmeszaz 0.3809 13 word2 mesz 3 1.35 108.08
elmeszaz 0.4040 14 word2 mesz 4 1.30 107.82
elmeszaz 0.4271 15 word2 mesz 5 1.23 107.35
elmeszaz 0.4502 16 word2 mesz 6 1.32 107.93
elmeszaz 0.4733 17 word2 mesz 7 1.18 107.06
elmeszaz 0.4964 18 word2 mesz 8 0.93 105.50
elmeszaz 0.5195 19 word2 mesz 9 0.66 103.91
elmeszaz 0.5426 20 word2 mesz 10 0.39 102.28
elmeszaz 0.5518 21 word3 az 1 0.27 101.58
elmeszaz 0.5609 22 word3 az 2 0.15 100.86
elmeszaz 0.5701 23 word3 az 3 0.03 100.15
elmeszaz 0.5792 24 word3 az 4 -0.08 99.56
elmeszaz 0.5884 25 word3 az 5 -0.14 99.19
elmeszaz 0.5976 26 word3 az 6 -0.14 99.19
elmeszaz 0.6067 27 word3 az 7 -0.06 99.65
elmeszaz 0.6159 28 word3 az 8 0.09 100.51
elmeszaz 0.6250 29 word3 az 9 0.24 101.41
elmeszaz 0.6342 30 word3 az 10 0.32 101.88
elmeszaz 0.6503 31 word4 or 1 0.14 100.82
elmeszaz 0.6664 32 word4 or 2 -0.32 98.17
elmeszaz 0.6825 33 word4 or 3 -0.65 96.34
elmeszaz 0.6987 34 word4 or 4 -0.42 97.61
elmeszaz 0.7148 35 word4 or 5 0.04 100.25
elmeszaz 0.7309 36 word4 or 6 0.22 101.25
elmeszaz 0.7470 37 word4 or 7 -0.04 99.78
elmeszaz 0.7632 38 word4 or 8 -0.48 97.27
elmeszaz 0.7793 39 word4 or 9 -0.22 98.77
elmeszaz 0.7954 40 word4 or 10 0.99 105.92
elmeszaz 0.8155 41 word5 vos 1 2.42 114.99
elmeszaz 0.8355 42 word5 vos 2 3.16 120.02
elmeszaz 0.8556 43 word5 vos 3 3.58 122.95
elmeszaz 0.8756 44 word5 vos 4 3.72 123.95
elmeszaz 0.8957 45 word5 vos 5 3.66 123.57
elmeszaz 0.9157 46 word5 vos 6 3.66 123.57
elmeszaz 0.9358 47 word5 vos 7 4.06 126.46
elmeszaz 0.9558 48 word5 vos 8 5.02 133.63
elmeszaz 0.9759 49 word5 vos 9 6.04 141.75
elmeszaz 0.9959 50 word5 vos 10 6.97 149.56
elmeszaz 1.0275 51 word6 hoz 1 8.33 161.81
elmeszaz 1.0591 52 word6 hoz 2 9.56 173.73
elmeszaz 1.0907 53 word6 hoz 3 9.27 170.88
elmeszaz 1.1223 54 word6 hoz 4 6.63 146.64
elmeszaz 1.1539 55 word6 hoz 5 3.82 124.71
elmeszaz 1.1855 56 word6 hoz 6 --undefined-- --undefined--
elmeszaz 1.2171 57 word6 hoz 7 --undefined-- --undefined--
elmeszaz 1.2487 58 word6 hoz 8 --undefined-- --undefined--
elmeszaz 1.2803 59 word6 hoz 9 --undefined-- --undefined--
elmeszaz 1.3119 60 word6 hoz 10 --undefined-- --undefined--
meseltel 0.0993 1 word1 el 1 --undefined-- --undefined--
meseltel 0.1164 2 word1 el 2 --undefined-- --undefined--
meseltel 0.1336 3 word1 el 3 --undefined-- --undefined--
